Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1676220,"May 9, 2020",Alabama,Birmingham,1221 Gulfport St,1,0,N/A
1675912,"May 9, 2020",Florida,Saint Petersburg,3738 18th Terrace S,1,0,N/A
1676223,"May 9, 2020",Georgia,Griffin,608 Hammock St,1,0,N/A
1673111,"May 5, 2020",Arizona,Tucson,800 block of W Roger Rd,1,0,N/A
1673119,"May 5, 2020",Texas,La Porte,10200 block of Old Orchard Rd,1,0,N/A
1671655,"May 3, 2020",Kentucky,Elizabethtown,1242 Woodland Dr,1,0,N/A
1670035,"May 1, 2020",Alabama,Pinson,9100 block of Cedar Mountain Rd,1,1,N/A
1665058,"April 23, 2020",Tennessee,Ooltewah,8548 River Birch Loop,1,0,N/A
1665094,"April 23, 2020",Georgia,Macon,289 CA-49,1,0,N/A
1664724,"April 23, 2020",Mississippi,Senatobia,1000 block of N Crockett Rd,1,0,N/A
1663572,"April 21, 2020",Colorado,Westminster,10700 block of Moore Circle,1,0,N/A
1663445,"April 21, 2020",Texas,Killeen,4500 block of Alan Kent Dr,1,0,N/A
1663620,"April 20, 2020",Pennsylvania,Philadelphia,2900 block of Secane Dr,1,0,N/A
1657394,"April 11, 2020",Georgia,Conley,1600 Block of Lamont Ave,1,1,N/A
1657017,"April 11, 2020",Tennessee,Memphis,820 Par Ave,1,0,N/A
1659684,"April 9, 2020",Ohio,Middle Point,301 E Lewis St,1,0,N/A
1653288,"April 6, 2020",Florida,Jacksonville,10300 Block of Monaco Dr,1,0,N/A
1652874,"April 5, 2020",Pennsylvania,Chester,2600 block of Swarts St,1,0,N/A
1651203,"April 2, 2020",Illinois,Thornton,Blackhawk Dr and Chicago Rd,1,0,N/A
1649813,"March 31, 2020",Indiana,Indianapolis,3200 block of N Tacoma Ave,1,0,N/A
1646390,"March 26, 2020",Tennessee,Memphis,2778 Pickering Dr,1,0,N/A
1641069,"March 17, 2020",Kentucky,Lexington,400 block of Campbell St,1,0,N/A
1640042,"March 15, 2020",Kentucky,Louisville,4200 block of Lees Lane,1,0,N/A
1639222,"March 13, 2020",Tennessee,Memphis,650 Gallan Dr,1,0,N/A
1636763,"March 8, 2020",North Carolina,Fairview,N/A,1,0,N/A
1629261,"February 25, 2020",Florida,Jacksonville,3500 block of Mecca St,1,0,N/A
1622731,"February 16, 2020",Tennessee,Memphis,1984 Bonnie Dr,1,0,N/A
1617744,"February 9, 2020",Pennsylvania,Pittsburgh,258 E Warrington Ave,1,0,N/A
1616601,"February 7, 2020",New Jersey,Browns Mills,21 Maricopa Trl,1,0,N/A
1616774,"February 7, 2020",Louisiana,Shreveport,3900 block of Merwin St,1,0,N/A
1612411,"February 2, 2020",Alabama,Harvest,101 Berrycreek Dr,1,0,N/A
1611420,"February 1, 2020",Virginia,Richmond,1700 block of Southlawn Ave,1,0,N/A
1611651,"February 1, 2020",Tennessee,Jackson,2023 S Highland Ave,1,0,N/A
1611369,"January 31, 2020",Texas,Clyde,Co Rd 525,1,0,N/A
1609445,"January 30, 2020",Pennsylvania,Philadelphia,2100 block of N Lambert St,1,0,N/A
1609952,"January 30, 2020",Alabama,Mobile,1 East Interstate 65 Service Rd S,1,0,N/A
1605309,"January 25, 2020",Louisiana,Baton Rouge,1915 Birch St,1,0,N/A
1603241,"January 22, 2020",Washington,Seattle,1530 3rd Ave,1,7,N/A
1600999,"January 19, 2020",Tennessee,Memphis,Josephine St and Carnes Ave,1,0,N/A
1601442,"January 19, 2020",Indiana,Bloomington,1297 E Zinnia Dr,1,1,N/A
1586315,"January 1, 2020",South Carolina,Walterboro,Barracada Rd,2,0,N/A
1580445,"December 25, 2019",Texas,Buna,34060 US-96,1,0,N/A
1580278,"December 24, 2019",Alabama,Monroeville,Co Rd 42,1,0,N/A
1577156,"December 21, 2019",Texas,San Antonio,6310 Channel View,1,0,N/A
1572059,"December 14, 2019",Ohio,Sandusky,5000 block of Memphis Ave,1,0,N/A
1572029,"December 14, 2019",Ohio,Pataskala,323 Haystack Ct,1,0,N/A
1567437,"December 8, 2019",Tennessee,Memphis,397 Delta Rd,1,0,N/A
1561428,"November 29, 2019",Tennessee,Memphis,3700 block of Station Way,1,0,N/A
1560553,"November 28, 2019",South Carolina,Springfield,N/A,1,0,N/A
1553904,"November 20, 2019",Missouri,Saint Louis,232 Tay Rd,1,0,N/A
1554251,"November 20, 2019",California,Los Angeles,2042 W 41st St,1,0,N/A
1551098,"November 16, 2019",South Carolina,Pickens,Shady Grove Rd,1,0,N/A
1550315,"November 15, 2019",South Carolina,Lancaster,1700 block of Usher Rd,1,0,N/A
1546480,"November 11, 2019",Pennsylvania,Philadelphia,5700 block of Haddington Ln,1,0,N/A
1540873,"November 2, 2019",Texas,Cedar Hill,900 block of S Highland Dr,1,0,N/A
1539761,"November 1, 2019",Texas,Houston,6414 Skyview Dr,1,0,N/A
1533610,"October 23, 2019",Indiana,Mooresville,2749 E CR-800 S,1,0,N/A
1528713,"October 17, 2019",Indiana,Mooresville,E Centenary Rd and N Kitchen Rd,1,0,N/A
1520107,"October 5, 2019",Alabama,Opp,N/A,1,0,N/A
1521125,"October 5, 2019",South Carolina,Hanahan,5800 block of Robinson St,1,0,N/A
1511907,"September 24, 2019",Missouri,Kansas City (Gladstone),41 NE 60th Terrace,1,0,N/A
1504579,"September 15, 2019",Texas,Arlington,1409 Cloyne Dr,1,1,N/A
1504619,"September 15, 2019",Texas,Fort Worth,7700 block of Greengage Dr,1,0,N/A
1502475,"September 12, 2019",Missouri,Saint Louis,9605 Jacobi Ave,1,0,N/A
1498337,"September 5, 2019",California,Visalia,W Sweet Ct,1,0,N/A
1495103,"September 1, 2019",Alabama,Geneva,E Latimer Ave,1,0,N/A
1487550,"August 24, 2019",Florida,Daytona Beach,212 S Keech St,1,0,N/A
1483899,"August 20, 2019",Pennsylvania,York,258 E Philadelphia St,1,0,N/A
1482469,"August 17, 2019",Oklahoma,Clinton,14th St and Dunn Ave,1,0,N/A
1481415,"August 16, 2019",Alabama,Montgomery,Coronet Drive,1,0,N/A
1479992,"August 14, 2019",West Virginia,Nitro,1324 Main Ave,1,0,N/A
1479182,"August 14, 2019",Texas,Dallas,3535 Munger Ave,1,0,N/A
1465898,"August 2, 2019",Virginia,Colonial Heights,100 block of Bruce Ave,1,0,N/A
1465536,"August 1, 2019",Montana,Toston,Crow Creek Rd,1,0,N/A
1464941,"July 30, 2019",Arizona,Tucson,4700 block of Linden Street,1,0,N/A
1462854,"July 30, 2019",Arizona,Tucson,4700 block of E Linden St,1,0,N/A
1461110,"July 28, 2019",Illinois,Chicago,9600 block of S Escanaba Ave,1,0,N/A
1437037,"June 30, 2019",Louisiana,Lafayette,100 block of Northern Ave,1,0,N/A
1434639,"June 28, 2019",Louisiana,Shreveport,3800 block of Elmer Ln,1,0,N/A
1430164,"June 24, 2019",Tennessee,Memphis,3670 Pershing Park Dr,1,0,N/A
1429406,"June 23, 2019",Mississippi,Jackson,Ginger Dr,1,0,N/A
1428280,"June 21, 2019",Texas,Katy,28200 block of S Firethorne Rd,1,0,N/A
1427218,"June 20, 2019",South Carolina,Greenville,Dronfield Dr,1,0,N/A
1429770,"June 18, 2019",Wisconsin,Milwaukee,N 45th St and W Concordia Ave,1,0,N/A
1424395,"June 17, 2019",Wisconsin,Kenosha,2000 block of 60th St,1,0,N/A
1421241,"June 12, 2019",Georgia,Gray,N/A,1,0,N/A
1419431,"June 10, 2019",South Carolina,North Charleston,2800 block of Ranger Drive,1,0,N/A
1418818,"June 9, 2019",Idaho,Montpelier,US Hwy 30,1,0,N/A
1405954,"May 26, 2019",Virginia,Richmond,2813 Bainbridge St,1,2,N/A
1404771,"May 25, 2019",Tennessee,Memphis,2900 block of Clearbrook St,1,0,N/A
1405012,"May 25, 2019",Louisiana,Baton Rouge,3766 Lanier Dr,1,0,N/A
1398159,"May 17, 2019",Missouri,Kansas City,11300 block of Calico Dr,1,0,N/A
1398153,"May 17, 2019",Arkansas,Little Rock,2123 Labette Manor,1,0,N/A
1398927,"May 16, 2019",Oklahoma,Calera,1193 Sterret Rd,1,0,N/A
1393162,"May 12, 2019",Ohio,Toledo,1121 Joyce Lane,1,0,N/A
1395097,"May 11, 2019",Tennessee,Jackson,164 Allen Ave,1,0,N/A
1385486,"May 2, 2019",Texas,Lufkin,N/A,1,0,N/A
1376917,"April 20, 2019",Ohio,Cleveland,14210 Rexwood Ave,1,0,N/A
1370249,"April 13, 2019",Alabama,Birmingham (Vestavia Hills),500 Old Town Rd,1,1,N/A
1366615,"April 8, 2019",Georgia,Dallas,158 Laurelcrest Ln,1,0,N/A
1354026,"March 22, 2019",North Carolina,Fayetteville,3100 Cricket Rd,1,0,N/A
1348185,"March 16, 2019",Florida,Miami Gardens,21200 block of NW 27th Ct,1,0,N/A
1333774,"February 23, 2019",South Carolina,North Charleston,2800 block of O'Brien St,1,0,N/A
1326968,"February 13, 2019",Louisiana,Marrero,2000 block of Rue Racine,1,0,N/A
1323697,"February 9, 2019",Mississippi,Saucier,Riceville Rd and McHenry Rd,2,0,N/A
1318461,"February 3, 2019",Georgia,Harlem,1407 Country Woods Ln,1,0,N/A
1308241,"January 21, 2019",Virginia,Hanover (Mangohick),100 block of Robin Ln,1,0,N/A
1307368,"January 21, 2019",Kansas,Wichita,2201 E MacArthur Rd,1,0,N/A
1308718,"January 19, 2019",Texas,Temple,4700 block of Midway Dr,2,0,N/A
1302992,"January 16, 2019",Texas,Houston,4000 W 34th St,1,0,N/A
1301688,"January 13, 2019",Alabama,Orrville,N/A,1,0,N/A
1299668,"January 12, 2019",Louisiana,New Orleans,6780 Bundy Rd,1,0,N/A
1286417,"December 26, 2018",Florida,Lake City,200 block of SE Anastasia St,1,0,N/A
1278778,"December 14, 2018",Missouri,Florissant,13 Holly Ln,1,0,N/A
1277170,"December 14, 2018",Michigan,Roseville,16415 Dort St,1,0,N/A
1266173,"November 29, 2018",Indiana,Lebanon,300 block of N Park St,1,0,N/A
1264802,"November 24, 2018",Oregon,Harrisburg,N/A,1,0,N/A
1260953,"November 22, 2018",Georgia,Savannah,900 block of E 35th St,1,0,N/A
1258320,"November 18, 2018",Texas,Dallas,9600 block of Beckleycrest Ave,1,0,N/A
1259582,"November 17, 2018",Arkansas,Lamar,Cabin Creek Ave,1,0,N/A
1256271,"November 15, 2018",Georgia,Jonesboro,300 block of Blackhawk Tr,1,0,N/A
1256230,"November 14, 2018",Alabama,Collegeville,31st St N,1,0,N/A
1251637,"November 8, 2018",Arkansas,Camden,1516 Copeland St,1,0,N/A
1248514,"November 6, 2018",Missouri,Clinton,500 block of South 11 St. Terrace,1,0,N/A
1247546,"November 4, 2018",Alabama,Prattville,100 block of Laurel Hill Drive,1,0,N/A
1247542,"November 4, 2018",Oregon,Baker City,Birch St,1,0,N/A
1245249,"October 21, 2018",Colorado,Colorado Springs,1500 block of Hartford St,1,0,N/A
1238134,"October 21, 2018",Tennessee,Saint Joseph,3825 US-43,1,0,N/A
1228092,"October 8, 2018",Virginia,Henrico (Highland Springs),203 S Holly Ave,1,0,N/A
1228329,"October 6, 2018",Georgia,Lavonia (Gumlog),Rue Fleur de lis,1,0,N/A
1226148,"October 5, 2018",Ohio,Cincinnati (Mount Healthy),7840 Clovernook Avenue,1,0,N/A
1226144,"September 30, 2018",Tennessee,Memphis,800 block of N Highland St,1,1,N/A
1219905,"September 27, 2018",Texas,Rusk,FM 1209,1,0,N/A
1217275,"September 24, 2018",South Carolina,Warrenville,1100 block of Oxpens Rd,1,0,N/A
1215761,"September 22, 2018",Arkansas,Little Rock,5207 Wycliffe Dr,1,0,N/A
1211994,"September 17, 2018",Louisiana,Livingston,18000 block of Murphy Estate Ln,1,0,N/A
1203498,"September 4, 2018",Kentucky,Smiths Grove,223 Buck Creek Rd,1,0,N/A
1203994,"September 4, 2018",Indiana,Gary,1700 block of Polk St,1,0,N/A
1200408,"August 31, 2018",Kentucky,Totz,63 Totz Loop,1,0,N/A
1200749,"August 28, 2018",Maryland,Halethorpe (Lansdowne),3100 block of Bero Rd,1,0,N/A
1197105,"August 26, 2018",Illinois,Kankakee,900 block of E Chestnut St,1,0,N/A
1189258,"August 17, 2018",Louisiana,West Monroe,Philpot Rd,1,0,N/A
1187669,"August 15, 2018",Kentucky,Louisville,1708 S 32nd St,1,0,N/A
1182592,"August 8, 2018",Tennessee,La Follette (LaFollette),2221 Jacksboro Pike,1,0,N/A
1182786,"August 4, 2018",Tennessee,Big Rock,400 block of Highway 120,1,0,N/A
1173707,"July 27, 2018",Alaska,Anchorage,900 block of Chugach Way,1,0,N/A
1171496,"July 24, 2018",Maine,Oakland,19 Church St,1,0,N/A
1167931,"July 20, 2018",California,San Bernardino (Muscoy),2700 block of Duffy St,1,0,N/A
1163406,"July 13, 2018",Indiana,Salem,5000 block of S PD Baker Rd,1,0,N/A
1161078,"July 10, 2018",Texas,Hockley,31703 Dunham Lake Dr,1,0,N/A
1159278,"July 8, 2018",Texas,Houston,8405 Knox St,1,0,N/A
1158586,"July 7, 2018",Georgia,Augusta,3100 block of Skinner Mill Rd,1,0,N/A
1159025,"July 7, 2018",California,Fresno,382 W Audubon Drive,1,0,N/A
1157671,"July 5, 2018",Louisiana,Chalmette,500 block of Pierre St,1,0,N/A
1155641,"July 2, 2018",Missouri,Hartville,Abrams Rd,1,0,N/A
1150235,"June 26, 2018",Missouri,Monett,500 block of Pleasant Dr,1,0,N/A
1148883,"June 23, 2018",Louisiana,Oakdale,Prater St,1,0,N/A
1139610,"June 12, 2018",Missouri,Saint Joseph,1909 S 12th St,1,0,N/A
1133961,"June 5, 2018",Kentucky,Elizabethtown,43 West Airview Dr,1,0,N/A
1133365,"June 4, 2018",Ohio,Dayton,2500 block of Wheeler Ave,1,0,N/A
1129050,"May 30, 2018",Nevada,Las Vegas,3975 North Nellis Blvd,1,0,N/A
1126217,"May 26, 2018",Utah,Salt Lake City (West Valley City),2700 S Fair Isle Ln,1,0,N/A
1122852,"May 22, 2018",Virginia,Louisa,Bakers Branch Rd,1,0,N/A
1122946,"May 22, 2018",Virginia,Roanoke,3441 Bennett Dr,1,0,N/A
1117434,"May 16, 2018",Minnesota,Minneapolis (Plymouth),6000 block of Shenandoah Ln,1,0,N/A
1110096,"May 7, 2018",Virginia,Richmond,200 block of N Laburnum Ave,1,0,N/A
1108431,"May 4, 2018",South Carolina,Walterboro,Robinson Rd,1,0,N/A
1096402,"April 20, 2018",Ohio,Wickliffe,28611 Euclid Avenue,1,0,N/A
1092432,"April 15, 2018",Indiana,Fort Wayne,2700 block of Chestnut St,1,1,N/A
1081894,"March 31, 2018",Missouri,Saint Louis,3100 block of California Ave,1,0,N/A
1081623,"March 25, 2018",Alaska,Barrow (Utqiagvik),N/A,1,0,N/A
1075597,"March 21, 2018",Texas,Martinsville,TX 7,1,0,N/A
1068073,"March 12, 2018",Alabama,Mobile,8070 Domain St,1,0,N/A
1068059,"March 12, 2018",Louisiana,Lake Providence,300 Church Street,1,0,N/A
1068710,"March 12, 2018",Alabama,Huntsville,2120 Sparkman Dr NW,1,1,N/A
1066577,"March 10, 2018",Wisconsin,Milwaukee,4500 block of N 38th St,1,0,N/A
1062802,"March 2, 2018",Colorado,Arboles,N/A,1,0,N/A
1053272,"February 20, 2018",Alabama,Moulton,Pinhook Rd,1,0,N/A
1045450,"February 8, 2018",Alabama,Talladega,N/A,1,0,N/A
1037937,"January 28, 2018",Texas,Houston,1400 block of W Gulf Bank Rd,1,0,N/A
1037226,"January 27, 2018",Texas,Texas City,2800 block of Lynn Cir,1,0,N/A
1036936,"January 26, 2018",Florida,Marianna,Townhouse Rd,1,0,N/A
1035148,"January 24, 2018",Texas,Fort Worth,3900 block of Lawnwood St,1,0,N/A
1031762,"January 20, 2018",California,Compton,2876 W Alondra Blvd,1,0,N/A
1018902,"January 1, 2018",Alabama,Bessemer (Concord),6400 block of William Dr,1,0,N/A
1015791,"December 28, 2017",Alabama,Brierfield,12772 Montevallo Rd,1,0,N/A
1013165,"December 22, 2017",Maryland,Aquasco,15500 block of St Phillips Rd,1,0,N/A
1005355,"December 10, 2017",Utah,Roosevelt (Ballard),N/A,1,0,N/A
1002553,"December 6, 2017",Michigan,Detroit,11000 block of Rossiter St,1,0,N/A
1001469,"December 5, 2017",Alaska,Anchorage,5700 block of Rocky Mountain Ct,1,0,N/A
1007196,"November 18, 2017",Texas,Concepcion,9000 block of CR 245,1,0,N/A
985018,"November 10, 2017",Tennessee,Memphis,3527 S Mendenhall Rd,1,0,N/A
984476,"November 9, 2017",Pennsylvania,Philadelphia,200 block of W Godfrey,1,0,N/A
979099,"November 2, 2017",Louisiana,Arnaudville,1000 block of Kennedy Drive,1,0,N/A
964421,"October 20, 2017",New York,Rochester,Walnut St,1,0,N/A
962272,"October 17, 2017",South Carolina,Warrenville,Beckham Rd,1,0,N/A
958930,"October 14, 2017",Illinois,Decatur,1400 block of E Wellington Way,1,0,N/A
955372,"October 8, 2017",North Carolina,Elizabeth City,S Desert Rd,1,0,N/A
955387,"October 6, 2017",Arkansas,Helena,300 block of Dinan St,1,0,N/A
950769,"October 3, 2017",Florida,Orlando,222 Neighborhood Market Rd,1,0,N/A
951109,"October 2, 2017",Mississippi,Falkner,N/A,1,0,N/A
946160,"October 1, 2017",Georgia,Augusta,2300 Block of Barton Chapel Rd,1,0,N/A
950568,"October 1, 2017",South Carolina,Bowman,N/A,1,0,N/A
946162,"September 30, 2017",Texas,Cleveland (Plum Grove),CR 3560,1,0,N/A
945681,"September 28, 2017",Texas,Tornillo,19000 block of Highland,1,0,N/A
944278,"September 28, 2017",Ohio,Cleveland (Parma),6600 block of Brownfield Dr,1,0,N/A
940196,"September 23, 2017",Missouri,Saint Louis,5400 block of Arlington Ave,1,0,N/A
940191,"September 23, 2017",Missouri,Salem,CR 621,1,0,N/A
939451,"September 22, 2017",Kansas,Lawrence,606 N Michigan St,1,0,N/A
933616,"September 15, 2017",South Carolina,Hartsville,Folly Rd,1,0,N/A
938221,"September 14, 2017",Florida,Tampa,N/A,1,0,N/A
930433,"September 10, 2017",Ohio,Madison,3800 block of Wade Rd,1,0,N/A
928127,"September 6, 2017",South Carolina,Columbia,2400 block of Truax Ln,2,0,N/A
926101,"September 3, 2017",Mississippi,Horn Lake,Carroll Cove West,1,0,N/A
925955,"September 2, 2017",Texas,Haltom City,3500 block of Parker Rd E,1,0,N/A
924438,"August 30, 2017",Mississippi,Cleveland,1700 block of South Chrisman Avenue,1,0,N/A
922726,"August 28, 2017",Maine,Scarborough,17 Milliken St,1,0,N/A
922006,"August 28, 2017",Texas,Scurry,9500 block of Timber Trail,1,0,N/A
917373,"August 21, 2017",New York,Syracuse,107 Hartson St,1,0,N/A
917003,"August 20, 2017",Tennessee,Memphis,1000 block of Parkland Road,1,0,N/A
917297,"August 20, 2017",Missouri,Saint Joseph,2600 Mary St,1,0,N/A
916765,"August 19, 2017",Tennessee,Memphis,1400 block of Hickory Way,1,0,N/A
915868,"August 16, 2017",Alaska,Togiak,N/A,1,0,N/A
909511,"August 9, 2017",Pennsylvania,West Mifflin,108 Dover Ln,1,0,N/A
909203,"August 8, 2017",Wisconsin,Loganville,S6350 WI-23,1,0,N/A
907522,"August 6, 2017",Missouri,Kansas City,9600 block of Lydia Avenue,1,0,N/A
906890,"August 5, 2017",Indiana,Crown Point,7700 block of E 120th Ave,1,0,N/A
906573,"August 4, 2017",Mississippi,Gulfport,3600 block of Sabine Street,1,0,N/A
903654,"August 1, 2017",Nevada,Las Vegas,9500 block of Chandler Springs Ave,1,0,N/A
903883,"August 1, 2017",Montana,Helena,246 Hope Road,1,0,N/A
902444,"July 31, 2017",Kentucky,Louisville,6509 Huff Lane,1,0,N/A
902866,"July 31, 2017",South Carolina,Lancaster,509 E Dunlap St,1,0,N/A
901872,"July 30, 2017",Florida,Tampa,1020 E Hannah Ave,1,0,N/A
902860,"July 29, 2017",Missouri,Miller,N/A,1,0,N/A
896934,"July 23, 2017",Missouri,Saint Louis,1400 block of Kealty Ln,1,0,N/A
888541,"July 12, 2017",Wisconsin,Racine,1800 block of Howe St,1,0,N/A
882610,"July 4, 2017",Mississippi,Louisville,4000 block of Highpoint Weir Road,1,0,N/A
882382,"July 4, 2017",Georgia,Atlanta,2591 Etheridge Dr NW,1,0,N/A
880308,"July 1, 2017",Mississippi,Jackson,3720 Cromwell Street,1,0,N/A
881463,"July 1, 2017",Georgia,Cordele,Culpepper Rd,1,0,N/A
876396,"June 26, 2017",Alabama,Montgomery,1714 Coral Ln,1,1,N/A
876460,"June 26, 2017",Indiana,Indianapolis,7100 block of Warrior Trail,1,0,N/A
885192,"June 25, 2017",Arkansas,El Dorado,N/A,1,0,N/A
871480,"June 20, 2017",Michigan,Clinton,24204 Lotus Dr,1,0,N/A
872986,"June 20, 2017",Arkansas,Danville,Belleville Ridge Road,1,0,N/A
870623,"June 18, 2017",Pennsylvania,Saylorsburg,500 block of Ash Lane,1,0,N/A
868760,"June 16, 2017",South Carolina,Spartanburg,Whitener Avenue,1,0,N/A
864644,"June 10, 2017",Indiana,Hobart,100 block of E 10th Ave,1,0,N/A
867772,"June 8, 2017",Mississippi,Monticello,88 Mt Olive Rd,1,0,N/A
861353,"June 6, 2017",Tennessee,Nashville,766 Lewis Street,1,0,N/A
858937,"June 3, 2017",Pennsylvania,Chester,2902 Bethel Road,1,0,N/A
860513,"May 26, 2017",Arkansas,West Helena,257 N Baringo St,1,0,N/A
848870,"May 21, 2017",Kentucky,Louisville,2100 block of W Madison St,1,0,N/A
849202,"May 20, 2017",Illinois,Des Plaines,2106 David Drive,1,0,N/A
844783,"May 15, 2017",Virginia,Locust Grove,10438 Cecelia Lane,1,0,N/A
846172,"May 15, 2017",Virginia,Locust Grove,Mine Run Rd,1,0,N/A
841957,"May 12, 2017",South Carolina,Starr,500 block of  Agnew Road,1,0,N/A
840898,"May 11, 2017",Indiana,East Chicago,3500 block of Guthrie St,1,0,N/A
840781,"May 10, 2017",Georgia,Winder,2500 block of Avalon Cir,1,0,N/A
832658,"April 30, 2017",Virginia,Henrico,1600 block of Henrico Arms Place,1,0,N/A
832193,"April 30, 2017",Florida,Jacksonville,Willow Branch Avenue,1,0,N/A
827611,"April 23, 2017",Mississippi,Vicksburg,2004 Ford St,1,0,N/A
818990,"April 13, 2017",Texas,Katy,21323 Finbury Oaks Lane,1,0,N/A
814815,"April 7, 2017",Illinois,Pekin,1802 Victoria Drive,1,0,N/A
809917,"April 2, 2017",Texas,Corpus Christi,1000 block of Vaky St,1,0,N/A
804472,"March 26, 2017",Oklahoma,Ochelata,North 3950 Road,1,0,N/A
803063,"March 25, 2017",North Carolina,High Point,1301 Filbert Place,1,0,N/A
801668,"March 23, 2017",Texas,Whitney,200 block of FM 1534,1,0,N/A
799257,"March 21, 2017",Kentucky,Mount Olivet,4214 Pinhook Road,1,0,N/A
798770,"March 20, 2017",Arizona,Phoenix,3428 W Rosewood Ave,1,0,N/A
799720,"March 19, 2017",South Dakota,Charles Mix (county),N/A,1,0,N/A
797012,"March 18, 2017",New Jersey,Newark,878 S 19th St,1,0,N/A
794578,"March 14, 2017",Missouri,Saint Louis,3300 block of Michigan Ave,1,0,N/A
792908,"March 12, 2017",Pennsylvania,Pittsburgh (Mount Washington),714 Southern Ave,1,0,N/A
784770,"February 27, 2017",Arkansas,Beebe,South Cypress Street,1,0,N/A
773537,"February 13, 2017",Missouri,Saint Louis (Jennings),Minnie Ave,1,0,N/A
768791,"February 6, 2017",Georgia,Fort Valley,1103 E Church St,1,0,N/A
767420,"February 4, 2017",Florida,Jacksonville,700 N Lincoln St,1,1,N/A
766984,"February 3, 2017",Massachusetts,Dudley,N/A,1,0,N/A
766483,"February 2, 2017",Idaho,Peck,22400 block of Big Canyon Road,1,0,N/A
766304,"February 2, 2017",South Carolina,Myrtle Beach,Afton Court,1,0,N/A
765675,"February 1, 2017",New Mexico,Carlsbad,900 block of Lamont Street,1,0,N/A
757042,"January 20, 2017",Florida,Auburndale,100 block of Lakeside Hills Loop,1,0,N/A
750092,"January 13, 2017",Missouri,Carthage,1054 James Street,1,0,N/A
749058,"January 11, 2017",California,Chowchilla,205 Alameda Avenue,1,0,N/A
745768,"January 8, 2017",Tennessee,Cedar Hill,6110 Smith Road,1,0,N/A
744789,"January 6, 2017",Tennessee,Jackson,220 Vann Dr,1,0,N/A
741697,"January 3, 2017",North Carolina,Pinetown,334 Main Street,1,0,N/A
739459,"January 1, 2017",Alabama,Athens,16931 Buckskin Drive,1,0,N/A
738903,"December 31, 2016",Indiana,Indianapolis,4006 Newburgh Dr,1,0,N/A
755970,"December 31, 2016",New Jersey,Stratford,Union Ave,1,0,N/A
739234,"December 30, 2016",Mississippi,Meridian,803 29th St,1,0,N/A
735148,"December 26, 2016",South Carolina,Andrews,1358 Mount Pleasant Dr,1,0,N/A
732260,"December 23, 2016",Ohio,Cleveland,3811 Library Avenue,1,0,N/A
731281,"December 21, 2016",Arkansas,Little Rock,2510 Romine Road,1,0,N/A
730788,"December 21, 2016",Ohio,Columbus,2700 block of Noe Bixby,1,0,N/A
733417,"December 17, 2016",Louisiana,Plaquemine (county),N/A,1,0,N/A
722662,"December 9, 2016",Florida,Pensacola,2200 block of Brookpark Road,1,0,N/A
720656,"December 6, 2016",Georgia,Mableton,6660 Mableton Pkwy SE,1,0,N/A
718272,"December 4, 2016",Ohio,Toledo,2400 block of Seaman Street,1,0,N/A
708516,"November 23, 2016",West Virginia,Troy,Highway 47 West,1,0,N/A
707836,"November 13, 2016",Colorado,Fairplay,N/A,1,0,N/A
699346,"November 13, 2016",Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A
699070,"November 12, 2016",Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,N/A
693186,"November 4, 2016",Kansas,Kansas City,7569 State Avenue,1,0,N/A
688311,"October 29, 2016",Ohio,Toledo,123 Rockingham Street,1,0,N/A
686371,"October 27, 2016",Missouri,Kansas City,18th and Topping,1,0,N/A
680890,"October 20, 2016",California,Stockton,8926 Ledgewood Avenue,1,0,N/A
674971,"October 13, 2016",Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,N/A
667264,"October 1, 2016",Georgia,Mcdonough,961 King Mill Road,1,0,N/A
666897,"September 30, 2016",Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,N/A
664945,"September 28, 2016",Arizona,Avondale,525 E Harrison Dr,1,0,N/A
658161,"September 18, 2016",Florida,West Palm Beach,1200 block of W 32nd St,1,0,N/A
657926,"September 18, 2016",Florida,Tampa,6727 S. Lois Ave.,1,0,N/A
653299,"September 12, 2016",Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,N/A
653183,"September 11, 2016",Kentucky,Louisville,1600 block of Brashear Drive,1,0,N/A
645796,"September 1, 2016",South Carolina,Columbia,228 Meredith Square,1,2,N/A
640740,"August 28, 2016",Kentucky,Louisville,3015 Penway Ave,1,0,N/A
638622,"August 25, 2016",Tennessee,Parrottsville,1496 Shenandoah Way,1,0,N/A
633039,"August 18, 2016",Montana,Belgrade,1005 Cardinal Dr,1,0,N/A
631060,"August 15, 2016",Mississippi,Byhalia,95 Rebecca Drive,1,0,N/A
631695,"August 14, 2016",Iowa,Garner,2194 Sioux Ave,1,0,N/A
629096,"August 13, 2016",Virginia,Danville,800 block of Edmonds Street,1,0,N/A
624733,"August 8, 2016",Tennessee,Hendersonville,118 Shady View Drive,1,0,N/A
624874,"August 6, 2016",Idaho,Weiser,Macomb Road,1,0,N/A
619891,"August 2, 2016",South Carolina,Coward,4312 Circle Drive,1,1,N/A
620217,"August 2, 2016",Louisiana,Marrero,2000 block of Fernando Court,1,0,N/A
